"date","binary_high_earnings","mean_index_by_date","Month","before_score_card"
2013-03-01,"0",0.442934536726376,"3","0"
2013-03-01,"1",0.84413647416893,"3","0"
2013-04-01,"0",0.473681269421584,"4","0"
2013-04-01,"1",0.64717297095263,"4","0"
2013-05-01,"0",0.0434164928016643,"5","0"
2013-05-01,"1",0.282874878545438,"5","0"
2013-06-01,"0",-0.371055309023067,"6","0"
2013-06-01,"1",-0.0508794100060282,"6","0"
2013-07-01,"0",-0.139693322410794,"7","0"
2013-07-01,"1",0.0995452719355966,"7","0"
2013-08-01,"0",0.645710996776517,"8","0"
2013-08-01,"1",0.639648205037187,"8","0"
2013-09-01,"0",0.783273183570612,"9","0"
2013-09-01,"1",0.799606278504016,"9","0"
2013-10-01,"0",0.580647241812634,"10","0"
2013-10-01,"1",0.625827067330178,"10","0"
2013-11-01,"0",0.317062311949475,"11","0"
2013-11-01,"1",0.341597185186905,"11","0"
2013-12-01,"0",-0.29500859588049,"12","0"
2013-12-01,"1",-0.197364563453194,"12","0"
2014-01-01,"0",0.43749647109023,"1","0"
2014-01-01,"1",0.545404320284667,"1","0"
2014-02-01,"0",0.200868751304069,"2","0"
2014-02-01,"1",0.191387245552693,"2","0"
2014-03-01,"0",0.171725616518004,"3","0"
2014-03-01,"1",0.370455997816137,"3","0"
2014-04-01,"0",0.0955138866042638,"4","0"
2014-04-01,"1",0.118990134781993,"4","0"
2014-05-01,"0",-0.180560790510514,"5","0"
2014-05-01,"1",-0.0748999286558545,"5","0"
2014-06-01,"0",-0.562077444793348,"6","0"
2014-06-01,"1",-0.383259864019801,"6","0"
2014-07-01,"0",-0.371707527666087,"7","0"
2014-07-01,"1",-0.234333277059008,"7","0"
2014-08-01,"0",0.338988673235933,"8","0"
2014-08-01,"1",0.203307385374624,"8","0"
2014-09-01,"0",0.441740569667993,"9","0"
2014-09-01,"1",0.374257807939665,"9","0"
2014-10-01,"0",0.3237513648825,"10","0"
2014-10-01,"1",0.191161261271995,"10","0"
2014-11-01,"0",0.10173457546973,"11","0"
2014-11-01,"1",-0.00933643199234683,"11","0"
2014-12-01,"0",-0.646866357341988,"12","0"
2014-12-01,"1",-0.639637092814789,"12","0"
2015-01-01,"0",0.0726948972939449,"1","0"
2015-01-01,"1",0.106713621958949,"1","0"
2015-02-01,"0",-0.0629905057208584,"2","0"
2015-02-01,"1",-0.104894956601024,"2","0"
2015-03-01,"0",-0.0547769497900853,"3","0"
2015-03-01,"1",0.0346127009749892,"3","0"
2015-04-01,"0",-0.0453509701912093,"4","0"
2015-04-01,"1",-0.106309599880116,"4","0"
2015-05-01,"0",-0.417718782819919,"5","0"
2015-05-01,"1",-0.485111833400096,"5","0"
2015-06-01,"0",-0.761972457419941,"6","0"
2015-06-01,"1",-0.767198958076005,"6","0"
2015-07-01,"0",-0.579974120012432,"7","0"
2015-07-01,"1",-0.591279656631819,"7","0"
2015-08-01,"0",0.16908722576891,"8","0"
2015-08-01,"1",-0.115311067322097,"8","0"
2015-09-01,"0",0.318174982113835,"9","1"
2015-09-01,"1",0.0657147706643698,"9","1"
2015-10-01,"0",0.204477526648439,"10","1"
2015-10-01,"1",0.0385654636991652,"10","1"
2015-11-01,"0",-0.047604208710523,"11","1"
2015-11-01,"1",-0.298336663055221,"11","1"
2015-12-01,"0",-0.734098267358945,"12","1"
2015-12-01,"1",-0.829263007107384,"12","1"
2016-01-01,"0",-0.0487685329259007,"1","1"
2016-01-01,"1",-0.226790812196177,"1","1"
2016-02-01,"0",-0.224778714454061,"2","1"
2016-02-01,"1",-0.454211478393685,"2","1"
2016-03-01,"0",-0.210632349381978,"3","1"
2016-03-01,"1",-0.208486131048809,"3","1"
